"","id","date","last.touch","last.click"
"57",31,2017-02-18,"email","email"
"58",32,2017-01-06,"display","none"
"59",32,2017-01-15,"display","none"
"60",32,2017-01-17,"social","display"
"61",32,2017-01-23,"display","display"
"62",32,2017-01-26,"social","display"
"63",33,2017-01-09,"social","social"
"64",33,2017-02-02,"display","email"
"65",33,2017-02-03,"direct","email"
"66",33,2017-02-10,"display","email"
"67",33,2017-02-16,"email","email"
"68",37,2017-01-05,"social","email"
"69",37,2017-01-09,"social","email"
"70",37,2017-01-25,"social","email"
"71",37,2017-01-31,"email","email"
"72",38,2017-02-24,"none","none"
"73",39,2017-01-23,"social","social"
"74",40,2017-01-06,"email","none"
"75",40,2017-01-09,"email","none"
"76",40,2017-01-10,"email","none"
"77",40,2017-01-15,"email","none"
"78",42,2017-01-02,"display","none"
"79",42,2017-02-02,"display","social"
"80",42,2017-02-06,"display","social"
"81",43,2017-01-23,"social","social"
"82",43,2017-02-11,"direct","social"
"83",44,2017-02-22,"email","social"
"84",45,2017-01-26,"social","social"
"85",45,2017-01-28,"social","social"
"86",45,2017-02-05,"direct","social"
"87",46,2017-01-08,"social","social"
"88",46,2017-01-10,"social","email"
"89",46,2017-02-06,"display","social"
"90",46,2017-02-11,"display","social"
"91",47,2017-02-01,"email","email"
"92",47,2017-02-10,"email","email"
"93",47,2017-02-11,"email","email"
"94",48,2017-01-19,"email","email"
"95",48,2017-01-28,"email","email"
"96",49,2017-01-07,"direct","none"
"97",49,2017-01-24,"email","email"
"98",49,2017-01-25,"email","email"
"99",51,2017-01-23,"email","none"
"100",51,2017-02-21,"email","none"
"101",53,2017-01-15,"social","email"
"102",53,2017-01-24,"social","social"
"103",53,2017-01-30,"social","social"
"104",53,2017-02-05,"email","social"
"105",53,2017-02-13,"email","social"
"106",55,2017-01-05,"social","none"
"107",56,2017-01-10,"social","none"
"108",56,2017-01-17,"social","none"
"109",56,2017-01-24,"social","none"
"110",56,2017-01-26,"social","none"
"111",57,2017-01-06,"direct","none"
"112",57,2017-01-09,"display","none"
"113",57,2017-01-18,"display","none"
"114",57,2017-01-28,"display","none"
"115",57,2017-02-26,"display","none"
"116",58,2017-01-03,"social","none"
"117",58,2017-01-15,"social","none"
"118",58,2017-01-29,"social","none"
"119",58,2017-02-23,"display","none"
"120",60,2017-01-11,"social","none"
"121",60,2017-01-28,"social","email"
"122",60,2017-02-04,"direct","email"
"123",60,2017-02-05,"direct","email"
"124",60,2017-02-23,"email","email"
"125",60,2017-02-24,"email","email"
"126",61,2017-02-10,"display","none"
"127",61,2017-02-14,"display","none"
"128",62,2017-01-04,"social","none"
"129",62,2017-01-18,"social","email"
"130",62,2017-02-09,"email","social"
"131",63,2017-02-19,"email","none"
"132",64,2017-01-14,"social","social"
"133",64,2017-01-18,"social","social"
"134",64,2017-01-23,"social","social"
"135",64,2017-02-01,"email","email"
"136",64,2017-02-05,"direct","email"
"137",64,2017-02-20,"email","email"
"138",64,2017-02-22,"email","email"
"139",64,2017-02-28,"email","email"
"140",65,2017-01-31,"email","none"
"141",65,2017-02-14,"email","none"
"142",66,2017-01-08,"display","display"
"143",67,2017-01-26,"display","none"
"144",67,2017-02-04,"display","none"
"145",68,2017-01-03,"social","email"
"146",68,2017-01-08,"social","email"
"147",68,2017-01-26,"social","social"
"148",68,2017-01-30,"social","social"
"149",68,2017-02-15,"email","social"
"150",69,2017-01-30,"display","email"
"151",69,2017-02-04,"display","email"
"152",69,2017-02-27,"display","email"
"153",70,2017-01-01,"social","none"
"154",70,2017-01-03,"social","none"
"155",70,2017-02-22,"display","none"
"156",71,2017-01-21,"display","none"
"157",72,2017-01-02,"social","none"
"158",72,2017-01-08,"social","social"
"159",72,2017-01-11,"social","social"
"160",72,2017-01-31,"email","social"
"161",74,2017-01-04,"email","none"
"162",74,2017-01-08,"social","none"
"163",75,2017-02-04,"display","display"
"164",75,2017-02-05,"display","display"
"165",76,2017-01-03,"email","email"
"166",76,2017-01-23,"display","email"
"167",76,2017-01-27,"display","email"
"168",76,2017-02-09,"display","email"
"169",76,2017-02-24,"display","email"
"170",77,2017-01-02,"none","none"
"171",77,2017-01-06,"direct","none"
"172",77,2017-01-22,"email","none"
"173",78,2017-02-19,"direct","none"
"174",79,2017-01-02,"social","social"
"175",79,2017-01-10,"social","social"
"176",79,2017-02-16,"email","social"
"177",80,2017-01-18,"display","social"
"178",80,2017-01-21,"display","social"
"179",80,2017-01-22,"display","social"
"180",81,2017-01-11,"social","none"
"181",81,2017-01-13,"social","none"
"182",81,2017-01-24,"email","none"
"183",81,2017-02-07,"email","none"
"184",81,2017-02-10,"email","none"
"185",81,2017-02-23,"email","none"
"186",82,2017-01-07,"social","social"
"187",85,2017-02-06,"none","none"
"188",86,2017-01-01,"social","none"
"189",86,2017-02-05,"social","social"
"190",87,2017-01-04,"email","none"
"191",87,2017-01-24,"email","none"
"192",87,2017-02-05,"direct","none"
"193",87,2017-02-12,"email","none"
"194",88,2017-01-29,"social","none"
"195",89,2017-01-09,"social","none"
"196",90,2017-01-13,"display","none"
"197",91,2017-01-03,"social","none"
"198",91,2017-01-10,"social","none"
"199",91,2017-01-11,"social","social"
"200",91,2017-02-21,"email","email"
"201",94,2017-01-12,"social","none"
"202",95,2017-01-27,"none","none"
"203",99,2017-01-10,"social","social"
"204",99,2017-01-30,"social","social"
"205",99,2017-02-02,"email","social"
"206",100,2017-01-18,"none","none"
"207",100,2017-01-26,"none","none"
"208",101,2017-01-17,"social","none"
"209",101,2017-01-28,"social","social"
"210",102,2017-01-08,"display","none"
"211",102,2017-01-10,"display","none"
"212",102,2017-01-31,"email","email"
"213",102,2017-02-07,"email","email"
"214",102,2017-02-22,"display","email"
"215",103,2017-01-07,"social","social"
"216",103,2017-01-27,"social","social"
"217",103,2017-02-04,"social","social"
"218",105,2017-01-06,"social","none"
"219",105,2017-01-07,"social","none"
"220",105,2017-01-27,"social","none"
"221",105,2017-01-31,"email","none"
"222",105,2017-02-27,"email","none"
"223",106,2017-01-07,"social","none"
"224",106,2017-01-12,"social","social"
"225",106,2017-01-14,"social","social"
"226",106,2017-01-21,"display","social"
"227",107,2017-01-10,"display","email"
"228",107,2017-02-07,"email","email"
"229",108,2017-01-11,"social","none"
"230",108,2017-01-20,"social","none"
"231",108,2017-01-28,"social","none"
"232",108,2017-02-05,"direct","none"
"233",109,2017-01-05,"social","none"
"234",109,2017-01-14,"social","none"
"235",109,2017-02-03,"direct","none"
"236",109,2017-02-20,"email","none"
"237",110,2017-01-27,"none","none"
"238",110,2017-02-14,"none","none"
"239",111,2017-01-07,"social","none"
"240",112,2017-01-26,"display","none"
"241",114,2017-01-07,"social","display"
"242",114,2017-02-21,"email","social"
"243",117,2017-01-11,"email","none"
"244",117,2017-02-01,"email","none"
"245",117,2017-02-15,"email","none"
"246",118,2017-01-09,"social","none"
"247",118,2017-02-08,"direct","none"
"248",119,2017-01-19,"social","none"
"249",120,2017-01-06,"direct","none"
"250",120,2017-01-13,"email","none"
"251",120,2017-01-19,"email","none"
"252",120,2017-01-31,"email","email"
"253",121,2017-01-03,"email","social"
"254",121,2017-01-17,"social","social"
"255",121,2017-01-25,"email","email"
"256",121,2017-02-14,"email","email"
"257",123,2017-01-15,"social","none"
"258",123,2017-02-06,"direct","social"
"259",123,2017-02-26,"email","social"
"260",124,2017-01-09,"social","none"
"261",124,2017-01-22,"social","social"
"262",125,2017-01-10,"display","none"
"263",125,2017-01-25,"display","none"
"264",125,2017-01-31,"display","none"
"265",126,2017-02-04,"direct","none"
"266",126,2017-02-06,"direct","none"
"267",126,2017-02-19,"direct","none"
"268",127,2017-01-03,"email","none"
"269",127,2017-01-09,"direct","none"
"270",127,2017-02-02,"email","none"
"271",128,2017-01-06,"direct","none"
"272",128,2017-01-10,"email","none"
"273",128,2017-01-14,"display","none"
"274",129,2017-01-04,"email","none"
"275",130,2017-01-17,"email","none"
"276",130,2017-01-25,"email","none"
"277",130,2017-02-12,"email","none"
"278",131,2017-01-08,"social","none"
"279",131,2017-01-10,"social","none"
"280",131,2017-02-17,"direct","none"
"281",136,2017-01-08,"display","display"
"282",136,2017-01-27,"display","email"
"283",136,2017-02-04,"display","email"
"284",136,2017-02-06,"display","email"
"285",136,2017-02-23,"display","email"
"286",137,2017-01-03,"display","none"
"287",137,2017-01-06,"direct","none"
"288",137,2017-01-08,"display","none"
"289",137,2017-01-09,"display","none"
"290",137,2017-01-20,"display","email"
"291",137,2017-01-21,"display","email"
"292",137,2017-02-08,"display","display"
"293",137,2017-02-11,"display","display"
"294",137,2017-02-14,"display","display"
"295",137,2017-02-16,"display","display"
"296",138,2017-02-11,"direct","none"
"297",139,2017-01-12,"direct","none"
"298",139,2017-01-18,"direct","none"
"299",140,2017-01-26,"email","none"
"300",140,2017-02-07,"email","none"
"301",140,2017-02-18,"email","none"
"302",141,2017-01-07,"social","none"
"303",141,2017-01-09,"social","none"
"304",141,2017-01-16,"social","social"
"305",141,2017-01-25,"social","social"
"306",141,2017-02-08,"email","email"
"307",141,2017-02-09,"email","email"
"308",143,2017-01-23,"social","social"
"309",143,2017-01-25,"social","social"
"310",143,2017-01-30,"social","social"
"311",143,2017-02-05,"direct","email"
"312",143,2017-02-08,"email","email"
"313",146,2017-01-27,"social","social"
"314",147,2017-01-03,"email","none"
"315",147,2017-01-11,"email","none"
"316",148,2017-01-09,"display","none"
"317",148,2017-01-14,"display","none"
"318",148,2017-01-17,"email","email"
"319",148,2017-02-08,"display","email"
"320",149,2017-02-22,"email","none"
"321",150,2017-01-28,"social","none"
"322",150,2017-01-29,"social","none"
"323",150,2017-02-05,"display","none"
"324",151,2017-02-26,"none","none"
"325",152,2017-02-04,"direct","none"
"326",152,2017-02-05,"direct","none"
"327",152,2017-02-08,"direct","none"
"328",154,2017-01-08,"social","none"
"329",155,2017-01-22,"display","social"
"330",155,2017-01-24,"social","social"
"331",155,2017-01-29,"display","social"
"332",155,2017-02-09,"display","social"
"333",155,2017-02-20,"display","social"
"334",156,2017-02-21,"email","none"
"335",157,2017-01-19,"display","none"
"336",159,2017-01-24,"email","social"
"337",159,2017-02-04,"direct","social"
"338",160,2017-01-05,"social","none"
"339",162,2017-01-14,"none","none"
"340",162,2017-01-24,"none","none"
"341",163,2017-01-17,"email","none"
"342",163,2017-01-28,"display","none"
"343",163,2017-02-17,"display","none"
"344",164,2017-01-13,"social","none"
"345",164,2017-01-28,"social","email"
"346",164,2017-01-30,"social","email"
"347",164,2017-01-31,"email","email"
"348",164,2017-02-04,"direct","email"
"349",164,2017-02-05,"direct","email"
"350",164,2017-02-15,"email","email"
"351",164,2017-02-26,"email","email"
"352",165,2017-01-01,"display","none"
"353",165,2017-01-07,"display","none"
"354",165,2017-01-24,"display","email"
"355",165,2017-02-13,"display","email"
"356",165,2017-02-23,"display","email"
"357",167,2017-02-06,"none","none"
"358",168,2017-01-17,"social","email"
"359",169,2017-01-08,"social","none"
"360",169,2017-02-08,"email","none"
"361",169,2017-02-20,"email","none"
"362",170,2017-02-13,"display","email"
"363",171,2017-02-28,"none","none"
"364",173,2017-01-24,"social","social"
"365",173,2017-01-26,"social","social"
"366",173,2017-02-03,"direct","social"
"367",173,2017-02-22,"email","social"
"368",174,2017-01-30,"social","none"
"369",174,2017-02-27,"email","email"
"370",175,2017-01-20,"email","none"
"371",175,2017-02-17,"email","none"
"372",176,2017-01-09,"direct","none"
"373",176,2017-01-12,"email","none"
"374",176,2017-01-18,"email","none"
"375",176,2017-02-09,"email","none"
"376",176,2017-02-25,"email","none"
"377",176,2017-02-27,"email","none"
"378",177,2017-01-24,"email","none"
"379",177,2017-02-06,"email","email"
"380",179,2017-01-15,"social","none"
"381",179,2017-02-04,"email","social"
"382",179,2017-02-22,"email","social"
"383",180,2017-01-03,"social","none"
"384",180,2017-02-09,"social","none"
"385",182,2017-01-06,"none","none"
"386",184,2017-01-22,"social","none"
"387",184,2017-02-01,"social","none"
"388",187,2017-01-10,"email","none"
"389",187,2017-02-07,"email","email"
"390",190,2017-02-19,"display","display"
"391",191,2017-01-15,"social","none"
"392",191,2017-01-30,"display","social"
"393",191,2017-02-13,"display","social"
"394",191,2017-02-23,"display","social"
"395",191,2017-02-26,"display","social"
"396",191,2017-02-27,"display","social"
"397",192,2017-01-18,"display","display"
"398",192,2017-02-06,"display","display"
"399",192,2017-02-08,"display","display"
"400",193,2017-01-08,"social","none"
"401",193,2017-02-01,"email","social"
"402",193,2017-02-05,"direct","social"
"403",193,2017-02-17,"email","social"
"404",194,2017-01-08,"social","social"
"405",194,2017-01-23,"social","social"
"406",194,2017-02-03,"direct","social"
"407",195,2017-01-17,"social","social"
"408",197,2017-01-08,"social","none"
"409",197,2017-01-26,"display","none"
"410",197,2017-01-31,"display","none"
"411",197,2017-02-25,"display","none"
"412",198,2017-01-05,"social","none"
"413",198,2017-01-08,"social","none"
"414",198,2017-01-14,"social","none"
"415",198,2017-01-17,"email","none"
"416",198,2017-01-24,"email","none"
"417",198,2017-02-05,"direct","none"
"418",199,2017-01-28,"email","none"
"419",200,2017-01-22,"social","none"
"420",200,2017-01-23,"social","none"
"421",200,2017-01-24,"social","social"
"422",200,2017-01-29,"social","social"
"423",201,2017-01-03,"social","email"
"424",201,2017-01-14,"social","social"
"425",201,2017-01-15,"social","social"
"426",201,2017-02-13,"email","email"
"427",202,2017-02-26,"direct","none"
"428",203,2017-01-27,"social","social"
"429",203,2017-02-02,"social","social"
"430",204,2017-01-10,"social","email"
"431",205,2017-01-02,"display","none"
"432",205,2017-01-07,"display","none"
"433",205,2017-01-27,"display","none"
"434",205,2017-02-08,"email","none"
"435",206,2017-01-07,"display","email"
"436",206,2017-01-17,"email","email"
"437",206,2017-01-22,"display","email"
"438",206,2017-02-09,"display","email"
"439",206,2017-02-19,"display","email"
"440",208,2017-01-13,"social","none"
"441",208,2017-01-18,"social","none"
"442",208,2017-01-21,"social","none"
"443",209,2017-01-28,"display","none"
"444",210,2017-02-22,"none","none"
"445",210,2017-02-27,"none","none"
"446",212,2017-02-08,"email","email"
"447",212,2017-02-11,"email","email"
"448",213,2017-01-13,"direct","none"
"449",213,2017-01-26,"direct","none"
"450",215,2017-01-27,"social","email"
"451",215,2017-02-12,"social","email"
"452",217,2017-01-20,"social","none"
"453",217,2017-01-30,"social","none"
"454",217,2017-02-11,"direct","none"
"455",217,2017-02-21,"email","email"
"456",219,2017-01-30,"display","none"
"457",219,2017-02-16,"display","email"
"458",220,2017-01-06,"social","none"
"459",220,2017-01-14,"social","none"
"460",220,2017-02-03,"display","social"
"461",221,2017-01-19,"social","email"
"462",221,2017-02-01,"social","email"
"463",221,2017-02-04,"direct","email"
"464",221,2017-02-19,"email","email"
"465",221,2017-02-25,"email","email"
"466",222,2017-01-10,"social","none"
"467",222,2017-01-31,"email","social"
"468",223,2017-01-14,"social","email"
"469",223,2017-01-15,"social","social"
"470",223,2017-02-07,"email","social"
"471",223,2017-02-24,"email","email"
"472",223,2017-02-26,"email","email"
"473",223,2017-02-27,"email","email"
"474",224,2017-01-31,"display","email"
"475",224,2017-02-09,"display","email"
"476",225,2017-01-23,"social","social"
"477",226,2017-01-16,"display","none"
"478",226,2017-02-28,"display","none"
"479",227,2017-01-09,"direct","none"
"480",227,2017-02-21,"email","none"
"481",229,2017-01-08,"display","none"
"482",229,2017-01-11,"social","none"
"483",229,2017-02-18,"display","social"
"484",230,2017-01-10,"social","email"
"485",232,2017-01-08,"display","none"
"486",232,2017-01-18,"display","none"
"487",232,2017-01-19,"display","none"
"488",232,2017-02-08,"display","none"
"489",232,2017-02-26,"display","display"
"490",233,2017-01-06,"display","none"
"491",233,2017-01-22,"social","none"
"492",233,2017-02-08,"display","none"
"493",233,2017-02-17,"display","display"
"494",234,2017-01-23,"social","none"
"495",235,2017-01-20,"email","none"
"496",236,2017-01-03,"none","none"
"497",236,2017-01-07,"direct","none"
"498",238,2017-01-22,"display","none"
"499",238,2017-02-14,"email","none"
"500",239,2017-01-06,"direct","none"
"501",239,2017-01-11,"display","social"
"502",239,2017-01-19,"social","social"
"503",239,2017-02-05,"display","social"
"504",240,2017-01-10,"email","none"
"505",240,2017-01-12,"display","none"
"506",240,2017-01-13,"display","none"
"507",240,2017-02-04,"display","none"
"508",240,2017-02-08,"display","none"
"509",241,2017-01-05,"social","none"
"510",241,2017-01-30,"social","social"
"511",242,2017-01-06,"social","none"
"512",243,2017-02-25,"email","email"
"513",244,2017-01-14,"display","none"
"514",244,2017-02-01,"display","none"
"515",246,2017-02-14,"none","none"
"516",247,2017-01-16,"email","email"
"517",247,2017-01-24,"email","email"
"518",247,2017-01-27,"email","email"
"519",247,2017-02-19,"email","email"
"520",248,2017-01-02,"none","none"
"521",248,2017-01-09,"direct","email"
"522",248,2017-01-11,"email","email"
"523",248,2017-01-22,"email","email"
"524",250,2017-01-17,"display","none"
"525",250,2017-02-03,"display","none"
"526",251,2017-02-06,"display","none"
"527",252,2017-01-29,"social","social"
"528",253,2017-01-03,"email","none"
"529",253,2017-01-12,"social","none"
"530",253,2017-01-14,"social","none"
"531",253,2017-02-03,"direct","none"
"532",254,2017-01-30,"email","none"
"533",254,2017-02-05,"direct","none"
"534",254,2017-02-07,"email","none"
"535",255,2017-01-11,"social","none"
"536",255,2017-01-24,"social","none"
"537",256,2017-01-06,"social","social"
"538",257,2017-01-06,"social","social"
"539",257,2017-01-13,"social","social"
"540",257,2017-01-18,"social","email"
"541",257,2017-01-23,"social","email"
"542",257,2017-02-03,"direct","social"
"543",257,2017-02-04,"direct","social"
"544",258,2017-01-05,"none","none"
"545",258,2017-01-08,"direct","none"
"546",258,2017-02-05,"direct","none"
"547",258,2017-02-21,"direct","none"
"548",259,2017-01-10,"email","none"
"549",259,2017-02-17,"email","none"
"550",259,2017-02-23,"email","email"
"551",260,2017-01-06,"direct","none"
"552",261,2017-01-15,"social","social"
"553",261,2017-01-25,"social","social"
"554",261,2017-02-03,"display","social"
"555",262,2017-01-17,"email","none"
"556",262,2017-01-19,"email","none"
"557",262,2017-01-28,"email","none"
"558",262,2017-02-11,"email","none"
"559",262,2017-02-21,"email","none"
"560",263,2017-02-21,"social","social"
"561",264,2017-01-18,"email","none"
"562",264,2017-02-04,"direct","email"
"563",264,2017-02-11,"direct","email"
"564",266,2017-01-06,"social","none"
"565",266,2017-01-09,"social","none"
"566",266,2017-01-11,"social","none"
"567",268,2017-02-20,"display","social"
"568",271,2017-01-21,"social","social"
"569",271,2017-01-27,"social","social"
"570",271,2017-02-15,"email","social"
"571",271,2017-02-20,"email","social"
"572",272,2017-01-12,"email","none"
"573",273,2017-01-29,"none","none"
"574",274,2017-01-02,"social","social"
"575",274,2017-01-19,"social","social"
"576",274,2017-01-22,"social","social"
"577",274,2017-02-10,"email","social"
"578",274,2017-02-22,"email","social"
"579",275,2017-01-02,"social","none"
"580",275,2017-01-08,"display","none"
"581",275,2017-02-04,"display","display"
"582",275,2017-02-07,"display","display"
"583",276,2017-01-24,"email","none"
"584",277,2017-01-02,"social","social"
"585",278,2017-01-04,"display","none"
"586",278,2017-01-07,"display","none"
"587",278,2017-01-16,"display","none"
"588",278,2017-02-02,"display","none"
"589",278,2017-02-20,"display","none"
"590",279,2017-01-02,"social","none"
"591",279,2017-01-04,"social","none"
"592",279,2017-01-15,"social","none"
"593",279,2017-01-28,"social","social"
"594",279,2017-02-05,"direct","social"
"595",280,2017-01-17,"email","none"
"596",280,2017-02-04,"email","email"
"597",280,2017-02-17,"email","email"
"598",281,2017-01-11,"email","none"
"599",281,2017-01-12,"email","none"
"600",282,2017-01-26,"social","none"
"601",283,2017-01-20,"social","social"
"602",284,2017-01-04,"social","none"
"603",284,2017-01-08,"social","none"
"604",284,2017-02-13,"direct","none"
"605",286,2017-02-17,"none","none"
"606",286,2017-02-24,"none","none"
"607",287,2017-01-17,"display","social"
"608",287,2017-02-03,"display","email"
"609",287,2017-02-12,"display","email"
"610",288,2017-01-14,"social","social"
"611",288,2017-01-19,"social","social"
"612",288,2017-02-06,"display","social"
"613",288,2017-02-08,"display","social"
"614",289,2017-01-02,"social","social"
"615",289,2017-01-20,"social","social"
"616",289,2017-02-07,"email","social"
"617",289,2017-02-15,"email","social"
"618",290,2017-01-04,"social","none"
"619",290,2017-01-06,"direct","none"
"620",290,2017-01-07,"social","none"
"621",290,2017-01-17,"social","none"
"622",290,2017-01-23,"social","none"
"623",290,2017-01-24,"email","none"
"624",290,2017-01-31,"email","email"
"625",290,2017-02-02,"email","email"
"626",290,2017-02-13,"email","email"
"627",290,2017-02-16,"email","email"
"628",290,2017-02-23,"email","email"
"629",291,2017-01-01,"none","none"
"630",291,2017-01-03,"email","none"
"631",291,2017-01-21,"social","social"
"632",291,2017-01-29,"social","social"
"633",292,2017-01-03,"display","none"
"634",292,2017-01-11,"display","none"
"635",292,2017-01-21,"social","display"
"636",292,2017-02-01,"display","display"
"637",292,2017-02-04,"display","display"
"638",292,2017-02-21,"display","display"
"639",293,2017-02-25,"social","none"
"640",294,2017-02-20,"display","display"
"641",295,2017-02-06,"direct","none"
"642",296,2017-01-09,"direct","none"
"643",298,2017-02-01,"social","email"
"644",298,2017-02-05,"social","email"
"645",298,2017-02-09,"email","email"
"646",299,2017-01-25,"social","none"
"647",300,2017-01-03,"display","none"
"648",300,2017-01-10,"email","none"
"649",300,2017-02-04,"direct","none"
"650",300,2017-02-19,"display","none"
"651",301,2017-01-12,"display","social"
"652",301,2017-01-18,"social","social"
"653",301,2017-01-30,"display","display"
"654",301,2017-02-06,"display","display"
"655",301,2017-02-14,"display","display"
"656",301,2017-02-22,"display","display"
"657",302,2017-01-10,"email","none"
"658",302,2017-02-23,"email","none"
"659",303,2017-01-04,"social","none"
"660",303,2017-01-06,"direct","social"
"661",303,2017-01-09,"social","social"
"662",303,2017-01-24,"email","social"
"663",303,2017-01-31,"email","social"
"664",303,2017-02-03,"direct","social"
"665",303,2017-02-04,"direct","social"
"666",303,2017-02-28,"email","email"
"667",304,2017-01-17,"social","social"
"668",304,2017-01-20,"display","social"
"669",304,2017-02-21,"display","social"
"670",305,2017-01-07,"social","none"
"671",305,2017-01-26,"social","none"
"672",308,2017-01-17,"email","none"
"673",308,2017-01-28,"email","none"
"674",308,2017-02-01,"email","none"
"675",308,2017-02-06,"direct","none"
"676",310,2017-02-11,"email","none"
"677",310,2017-02-17,"email","none"
"678",311,2017-01-03,"social","none"
"679",311,2017-01-08,"social","none"
"680",311,2017-01-19,"social","social"
"681",312,2017-01-14,"social","social"
"682",312,2017-02-08,"email","social"
"683",312,2017-02-13,"email","social"
"684",314,2017-01-12,"social","none"
"685",314,2017-01-28,"social","social"
"686",315,2017-01-27,"social","none"
"687",315,2017-02-06,"display","none"
"688",316,2017-01-10,"social","email"
"689",316,2017-01-17,"social","email"
"690",316,2017-01-28,"social","email"
"691",316,2017-02-22,"email","email"
"692",316,2017-02-23,"email","email"
"693",317,2017-01-28,"social","social"
"694",317,2017-02-18,"direct","social"
"695",318,2017-01-06,"display","none"
"696",318,2017-01-19,"social","email"
"697",318,2017-02-09,"display","email"
"698",320,2017-01-06,"social","none"
"699",320,2017-01-09,"social","none"
"700",320,2017-01-12,"social","social"
"701",320,2017-01-20,"social","social"
"702",320,2017-02-05,"direct","email"
"703",321,2017-01-12,"social","email"
"704",321,2017-01-13,"social","email"
"705",321,2017-01-14,"social","email"
"706",321,2017-01-17,"social","email"
"707",321,2017-01-20,"social","email"
"708",321,2017-01-27,"social","email"
"709",321,2017-02-01,"email","email"
"710",321,2017-02-11,"email","email"
"711",321,2017-02-26,"email","email"
"712",322,2017-01-10,"social","email"
"713",323,2017-02-08,"display","none"
"714",323,2017-02-21,"display","none"
"715",324,2017-01-03,"social","email"
"716",324,2017-01-28,"social","email"
"717",326,2017-01-19,"display","none"
"718",326,2017-02-08,"email","none"
"719",327,2017-01-25,"social","none"
"720",328,2017-01-10,"email","none"
"721",328,2017-01-25,"social","social"
"722",328,2017-02-07,"email","social"
"723",330,2017-02-01,"none","none"
"724",331,2017-01-18,"social","none"
"725",331,2017-02-08,"email","social"
"726",331,2017-02-09,"email","social"
"727",331,2017-02-21,"email","social"
"728",332,2017-02-24,"display","social"
"729",333,2017-01-08,"direct","none"
"730",333,2017-01-10,"email","none"
"731",333,2017-01-12,"social","none"
"732",333,2017-01-23,"social","none"
"733",335,2017-01-22,"social","none"
"734",337,2017-01-24,"email","email"
"735",337,2017-02-03,"display","email"
"736",337,2017-02-04,"display","email"
"737",337,2017-02-21,"email","email"
"738",337,2017-02-23,"display","email"
"739",337,2017-02-28,"display","email"
"740",338,2017-01-01,"none","none"
"741",338,2017-02-08,"display","none"
"742",338,2017-02-09,"display","none"
"743",339,2017-02-23,"display","none"
"744",340,2017-01-06,"social","none"
"745",340,2017-01-14,"social","social"
"746",341,2017-01-29,"email","none"
"747",341,2017-02-05,"direct","none"
"748",342,2017-02-04,"direct","social"
"749",342,2017-02-09,"email","social"
"750",343,2017-02-25,"email","social"
"751",344,2017-01-04,"email","none"
"752",344,2017-01-19,"email","none"
"753",344,2017-01-21,"email","none"
"754",344,2017-02-04,"direct","none"
"755",345,2017-01-28,"email","none"
"756",346,2017-01-30,"social","social"
"757",346,2017-02-04,"direct","email"
"758",346,2017-02-05,"direct","email"
"759",346,2017-02-17,"email","email"
"760",347,2017-01-05,"social","social"
"761",348,2017-01-07,"social","social"
"762",348,2017-01-09,"social","social"
"763",348,2017-01-25,"social","social"
"764",348,2017-02-08,"email","social"
"765",348,2017-02-12,"email","social"
"766",348,2017-02-21,"email","social"
"767",349,2017-01-09,"direct","none"
"768",350,2017-01-03,"social","none"
"769",350,2017-01-17,"social","social"
"770",350,2017-01-27,"social","social"
"771",350,2017-02-07,"display","social"
